found_minima,found_saddles,bias_count,energy_calls_at_each_min,force_calls_at_each_min,run_id,seed,bias_std_dev_scale,bias_covariance,bias_height_fraction,bias_height,perturbation_size,optimizer
"[array([0.62349941, 0.02803776]), array([-0.55822258,  1.4417272 ])]","[array([-0.84808137,  0.61609296]), array([-0.84808137,  0.61609296])]",5000,"[101, 65348]","[101, 65348]",342,3,0.3333333333333333,0.03361111111111112,0.01,0.38,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.55822262,  1.44172715])]","[array([-0.83553168,  0.59704642]), array([-0.83553168,  0.59704642])]",5000,"[101, 32766]","[101, 32766]",262,3,0.3333333333333333,0.03361111111111112,0.02,0.76,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.55822211,  1.44172779])]","[array([-0.86330537,  0.55189844]), array([-0.86330537,  0.55189844])]",5000,"[101, 4961]","[101, 4961]",44,5,0.3333333333333333,0.03361111111111112,0.2,7.6000000000000005,0.005,FIRE
"[array([0.62349941, 0.02803776]), array([-0.55822254,  1.44172726])]","[array([-0.86660279,  0.58001011]), array([-0.86660279,  0.58001011])]",5000,"[101, 4406]","[101, 4406]",25,6,0.3333333333333333,0.03361111111111112,0.2,7.6000000000000005,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05751298,  0.46846682]), array([-0.55822258,  1.4417272 ])]","[array([0.14783267, 0.26896677]), array([-0.83723128,  0.57820472]), array([0.14783267, 0.26896677]), array([-0.83723128,  0.57820472])]",22,"[101, 1101, 2603]","[101, 1101, 2603]",26,7,0.3333333333333333,0.03361111111111112,0.2,7.6000000000000005,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.55822249,  1.44172731])]","[array([-0.86656901,  0.5987213 ]), array([-0.86656901,  0.5987213 ])]",5000,"[101, 5219]","[101, 5219]",103,4,0.3333333333333333,0.03361111111111112,0.1,3.8000000000000003,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.55822247,  1.44172731])]","[array([-0.83042428,  0.59261141]), array([-0.83042428,  0.59261141])]",5000,"[101, 21404]","[101, 21404]",183,4,0.3333333333333333,0.03361111111111112,0.03333333333333333,1.2666666666666666,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.55822257,  1.4417272 ])]","[array([-0.83646339,  0.60025191]), array([-0.83646339,  0.60025191])]",5000,"[101, 65030]","[101, 65030]",343,4,0.3333333333333333,0.03361111111111112,0.01,0.38,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.55822244,  1.44172735])]","[array([-0.83445398,  0.5958792 ]), array([-0.83445398,  0.5958792 ])]",5000,"[101, 32535]","[101, 32535]",263,4,0.3333333333333333,0.03361111111111112,0.02,0.76,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.55822254,  1.44172726])]","[array([-0.84364778,  0.56843553]), array([-0.84364778,  0.56843553])]",5000,"[101, 4463]","[101, 4463]",45,6,0.3333333333333333,0.03361111111111112,0.2,7.6000000000000005,0.005,FIRE
"[array([0.62349941, 0.02803776]), array([-0.55822208,  1.4417278 ])]","[array([-0.86420205,  0.59308794]), array([-0.86420205,  0.59308794])]",5000,"[101, 5023]","[101, 5023]",27,8,0.3333333333333333,0.03361111111111112,0.2,7.6000000000000005,0.01,FIRE
