run_id,saddle_error_mean,saddle_error_stdv,minima_error_mean,minima_error_stdv,bias_count_mean,bias_count_stdv,energy_calls_mean,energy_calls_stdv,force_calls_mean,force_calls_stdv,bias_std_dev_scale,bias_covariance,bias_height_fraction,bias_height,perturbation_size,optimizer
133,0.22547781779588502,0.06325082181484892,0.2679210942167796,0.3788976450872095,177.0,104.71230427541295,"[13.0, 3927.0, 9024.333333333334]","[0.0, 655.3248558285171, 4307.231851458918]","[13.0, 3927.0, 9024.333333333334]","[0.0, 655.3248558285171, 4307.231851458918]",0.1,0.003025,0.1,3.8,0.001,Scipy
134,0.1394537588129863,0.132440881356598,0.4018816482436651,0.4018816482436651,434.6666666666667,36.077077979730504,"[104.0, 10161.666666666666, 59885.666666666664]","[0.0, 391.32367960835467, 4736.148247492071]","[104.0, 10161.666666666666, 59885.666666666664]","[0.0, 391.32367960835467, 4736.148247492071]",0.1,0.003025,0.1,3.8,0.0001,FIRE
135,0.31922332458559816,0.21720824570439579,0.4018816413251694,0.4018816413251694,117.66666666666667,17.13346303452853,"[13.0, 3473.3333333333335, 6000.333333333333]","[0.0, 133.86892428375188, 1083.5572076370597]","[13.0, 3473.3333333333335, 6000.333333333333]","[0.0, 133.86892428375188, 1083.5572076370597]",0.1,0.003025,0.1,3.8,0.0001,Scipy
136,0.7575098459447385,0.09655239389093462,0.4018816482436651,0.4018816482436651,1082.3333333333333,83.0434959658023,"[104.0, 24746.666666666668, 142209.66666666666]","[0.0, 1425.2186576880833, 10714.223951779657]","[104.0, 24746.666666666668, 142209.66666666666]","[0.0, 1425.2186576880833, 10714.223951779657]",0.1,0.003025,0.0333333333333333,1.2666666666666666,0.1,FIRE
137,0.7349572600860529,0.16717825976497497,0.2679210965229448,0.3788976483486197,408.0,218.28421839427605,"[13.0, 6299.0, 17341.333333333332]","[0.0, 444.2394249350981, 7460.371095923371]","[13.0, 6299.0, 17341.333333333332]","[0.0, 444.2394249350981, 7460.371095923371]",0.1,0.003025,0.0333333333333333,1.2666666666666666,0.1,Scipy
138,0.16050701916482019,0.2766109672690298,0.4018816468470885,0.4018816468470885,1138.0,62.8702367314349,"[104.0, 24580.0, 153269.33333333334]","[0.0, 1568.1692085571208, 8262.091758279026]","[104.0, 24580.0, 153269.33333333334]","[0.0, 1568.1692085571208, 8262.091758279026]",0.1,0.003025,0.0333333333333333,1.2666666666666666,0.01,FIRE
139,0.08761554508765441,0.07337309110311273,0.2679210942167796,0.3788976450872095,341.6666666666667,234.93166855255785,"[13.0, 5546.666666666667, 14392.666666666666]","[0.0, 676.4344429104386, 10506.95291488239]","[13.0, 5546.666666666667, 14392.666666666666]","[0.0, 676.4344429104386, 10506.95291488239]",0.1,0.003025,0.0333333333333333,1.2666666666666666,0.01,Scipy
140,0.03484676619599742,0.012474214384873884,0.4018816450279113,0.4018816450279113,1095.0,42.00793575821915,"[104.0, 25053.666666666668, 153017.0]","[0.0, 918.3522684073301, 5953.991658263107]","[104.0, 25053.666666666668, 153017.0]","[0.0, 918.3522684073301, 5953.991658263107]",0.1,0.003025,0.0333333333333333,1.2666666666666666,0.001,FIRE
141,0.11886554556266025,0.112663698801313,0.2679210951263682,0.37889764637356205,401.0,302.51721714088717,"[13.0, 6334.0, 16626.333333333332]","[0.0, 1291.1041786006272, 10754.10028263122]","[13.0, 6334.0, 16626.333333333332]","[0.0, 1291.1041786006272, 10754.10028263122]",0.1,0.003025,0.0333333333333333,1.2666666666666666,0.001,Scipy
142,0.045833331115270104,0.018149568223422032,0.40188164363133466,0.4018816436313347,1096.0,120.45192678685828,"[104.0, 24151.0, 155619.0]","[0.0, 557.6277133237431, 17766.234510066184]","[104.0, 24151.0, 155619.0]","[0.0, 557.6277133237431, 17766.234510066184]",0.1,0.003025,0.0333333333333333,1.2666666666666666,0.0001,FIRE
